centro_nv2;nps_tradicional;nps_ajustado;delta;faixa_trad;faixa_ajust;mudou_faixa;flag;alerta
L5025-PANAMBY (0817);85.13876454789614;85.13876454789614;0.0;Excelente (≥75);Excelente (≥75);False;REGULAR;ESTAVEL
L5026-VILA MARIA (0818);89.64677222898904;89.64677222898904;0.0;Excelente (≥75);Excelente (≥75);False;TOCADORA;ESTAVEL
L5027-ACLIMACAO (0851);82.90691344583561;82.90691344583561;0.0;Excelente (≥75);Excelente (≥75);False;TOCADORA;ESTAVEL
L5028-VILA PAULICEIA (0853);88.56601389766267;88.56601389766267;0.0;Excelente (≥75);Excelente (≥75);False;REGULAR;ESTAVEL
L5030-SAUDADE (0856);88.73188405797102;88.73188405797102;0.0;Excelente (≥75);Excelente (≥75);False;REGULAR;ESTAVEL
L5031-PERDIZES (0860);83.20413436692506;83.20413436692506;0.0;Excelente (≥75);Excelente (≥75);False;TOCADORA;ESTAVEL
L5033-SANTANA (0868);81.55339805825243;81.55339805825243;0.0;Excelente (≥75);Excelente (≥75);False;TOCADORA;ESTAVEL
L5034-D. PEDRO LL (0873);88.7467068121942;88.7467068121942;0.0;Excelente (≥75);Excelente (≥75);False;REGULAR;ESTAVEL
L5035-TREMEMBE (0875);87.07865168539325;87.07865168539325;0.0;Excelente (≥75);Excelente (≥75);False;REGULAR;ESTAVEL
L5037-VILA ROMANA (0880);81.36300417246176;81.36300417246176;0.0;Excelente (≥75);Excelente (≥75);False;TOCADORA;ESTAVEL
L5038-SAO JOSE DOS CAMPOS (0886);89.86700443318556;89.86700443318556;0.0;Excelente (≥75);Excelente (≥75);False;REGULAR;ESTAVEL
L5039-ZELINA (1208);87.75235531628532;87.75235531628532;0.0;Excelente (≥75);Excelente (≥75);False;REGULAR;ESTAVEL
L5040-GUARULHOS (1211);87.78538812785388;87.78538812785388;0.0;Excelente (≥75);Excelente (≥75);False;REGULAR;ESTAVEL
L5041-TAUBATE (1224);91.48351648351648;91.48351648351648;0.0;Excelente (≥75);Excelente (≥75);False;REGULAR;ESTAVEL
L5042-IPIRANGA (1237);85.39462978030919;85.39462978030919;0.0;Excelente (≥75);Excelente (≥75);False;REGULAR;ESTAVEL
L5043-PORTUGAL (1239);83.9677047289504;83.9677047289504;0.0;Excelente (≥75);Excelente (≥75);False;REGULAR;ESTAVEL
L5044-INDAIATUBA (1243);87.31988472622479;87.31988472622479;0.0;Excelente (≥75);Excelente (≥75);False;REGULAR;ESTAVEL
L5045-TATUAPE (1247);85.95194085027727;85.95194085027727;0.0;Excelente (≥75);Excelente (≥75);False;REGULAR;ESTAVEL
L5046-VILA CARRAO (1248);86.81837698583082;86.81837698583082;0.0;Excelente (≥75);Excelente (≥75);False;REGULAR;ESTAVEL
L5047-SAO BERNARDO (1255);86.47856357640161;86.47856357640161;0.0;Excelente (≥75);Excelente (≥75);False;REGULAR;ESTAVEL
L5048-SJC ANDROMEDA (1261);90.12846517917512;90.12846517917512;0.0;Excelente (≥75);Excelente (≥75);False;REGULAR;ESTAVEL
L5049-RIB.PRETO INDEPENDENCIA (1266);84.4136926438456;84.4136926438456;0.0;Excelente (≥75);Excelente (≥75);False;REGULAR;ESTAVEL
L5050-SOROCABA W.LUIZ (1273);89.21821305841925;89.21821305841925;0.0;Excelente (≥75);Excelente (≥75);False;REGULAR;ESTAVEL
L5051-VILA PRUDENTE (1276);84.76923076923077;84.76923076923077;0.0;Excelente (≥75);Excelente (≥75);False;REGULAR;ESTAVEL
L5052-PINHEIROS (1277);84.38948995363215;84.38948995363215;0.0;Excelente (≥75);Excelente (≥75);False;TOCADORA;ESTAVEL
L5053-MORUMBI (1278);85.6137607505864;85.6137607505864;0.0;Excelente (≥75);Excelente (≥75);False;TOCADORA;ESTAVEL
L5054-PLANALTO (1279);83.00395256916995;83.00395256916995;0.0;Excelente (≥75);Excelente (≥75);False;REGULAR;ESTAVEL
L5055-CAMBUCI (1284);83.18695106649938;83.18695106649938;0.0;Excelente (≥75);Excelente (≥75);False;TOCADORA;ESTAVEL
L5056-PENHA (1285);87.12871287128714;87.12871287128714;0.0;Excelente (≥75);Excelente (≥75);False;REGULAR;ESTAVEL
L5057-BOQUEIRAO (1289);89.28571428571429;89.28571428571429;0.0;Excelente (≥75);Excelente (≥75);False;REGULAR;ESTAVEL
L5058-JD. BONFIGLIOLI (1291);83.36791147994468;83.36791147994468;0.0;Excelente (≥75);Excelente (≥75);False;TOCADORA;ESTAVEL
L5059-TUTOIA (1294);83.2271762208068;83.2271762208068;0.0;Excelente (≥75);Excelente (≥75);False;TOCADORA;ESTAVEL
L5061-BOSQUE MAIA (1304);84.22186322024771;84.22186322024771;0.0;Excelente (≥75);Excelente (≥75);False;REGULAR;ESTAVEL
L5062-ASSUNCAO (1310);84.84509145203434;84.84509145203434;0.0;Excelente (≥75);Excelente (≥75);False;REGULAR;ESTAVEL
L5063-SAO CAMILO (1311);82.40384615384615;82.40384615384615;0.0;Excelente (≥75);Excelente (≥75);False;REGULAR;ESTAVEL
L5064-CHACARA INGLESA (1312);86.51414810355207;86.51414810355207;0.0;Excelente (≥75);Excelente (≥75);False;REGULAR;ESTAVEL
L5065-LINS DE VASCONCELOS (1313);85.04453820909517;85.04453820909517;0.0;Excelente (≥75);Excelente (≥75);False;REGULAR;ESTAVEL
L5066-CARAPICUIBA (1317);87.31825525040388;87.31825525040388;0.0;Excelente (≥75);Excelente (≥75);False;REGULAR;ESTAVEL
L5067-CHACARA ST. ANTONIO (1318);82.19669777458722;82.19669777458722;0.0;Excelente (≥75);Excelente (≥75);False;TOCADORA;ESTAVEL
L5068-BOSQUE DA SAUDE (1321);86.07172643869892;86.07172643869892;0.0;Excelente (≥75);Excelente (≥75);False;REGULAR;ESTAVEL
L5069-AGUA RASA (1322);88.66099071207431;88.66099071207431;0.0;Excelente (≥75);Excelente (≥75);False;REGULAR;ESTAVEL
L5070-BORGES LAGOA (1323);80.9414466130884;80.9414466130884;0.0;Excelente (≥75);Excelente (≥75);False;TOCADORA;ESTAVEL
L5071-BELA VISTA (1326);84.63324048282266;84.63324048282266;0.0;Excelente (≥75);Excelente (≥75);False;TOCADORA;ESTAVEL
L5072-SERRA DE JAPI (1330);86.00281822451855;86.00281822451855;0.0;Excelente (≥75);Excelente (≥75);False;REGULAR;ESTAVEL
L5073-VILA GUILHERME (1331);86.92175899486007;86.92175899486007;0.0;Excelente (≥75);Excelente (≥75);False;REGULAR;ESTAVEL
L5074-VOLUNTARIOS DA PATRIA (1335);81.65846802529867;81.65846802529867;0.0;Excelente (≥75);Excelente (≥75);False;TOCADORA;ESTAVEL
L5076-PIRACICABA (1337);86.83216405828387;86.83216405828387;0.0;Excelente (≥75);Excelente (≥75);False;REGULAR;ESTAVEL
L5077-OSCAR FREIRE (1341);87.74647887323944;87.74647887323944;0.0;Excelente (≥75);Excelente (≥75);False;REGULAR;ESTAVEL
