centro_nv2;flag;uf;regiao;comentarios;comentarios_negativos;comentarios_negativos_longos;pct_negativo;severidade_media;severidade_p90;nps_tradicional;nps_textual;nps_hibrido;avaliacoes_ponderadas;linhas_avaliacao;transacoes;delta_textual_vs_tradicional;delta_hibrido_vs_tradicional;indice_prioridade;faixa_nps_tradicional;faixa_nps_textual;faixa_nps_hibrido;quadrante_risco;risco_oculto
L5008-SCS MAUA (0500);REGULAR;SP;RMSP;520;59;21;11.35;27.596788461538463;72.70000000000002;68.26923076923077;62.88461538461539;66.34615384615384;1918.0;1046.0;96412.0;-5.38;-1.92;49.95;zona_qualidade;zona_qualidade;zona_qualidade;atencao_leve;False
L5057-BOQUEIRAO (1289);REGULAR;SP;Litoral;508;54;19;10.63;28.165866141732284;72.283;68.11023622047244;60.629921259842526;64.56692913385827;2380.0;1084.0;152075.0;-7.48;-3.54;49.92;zona_qualidade;zona_qualidade;zona_qualidade;atencao_leve;False
L5173-PERUIBE;REGULAR;SP;Litoral;531;61;25;11.49;26.23126177024482;73.86;69.49152542372882;65.91337099811676;67.41996233521658;2294.0;1142.0;115243.0;-3.58;-2.07;49.82;zona_qualidade;zona_qualidade;zona_qualidade;atencao_leve;False
L5193-COTIA;TOCADORA;SP;RMSP;430;51;15;11.86;27.318093023255816;75.613;63.72093023255814;62.32558139534884;64.65116279069767;1901.0;991.0;119430.0;-1.4;0.93;49.64;zona_qualidade;zona_qualidade;zona_qualidade;atencao_leve;False
L5038-SAO JOSE DOS CAMPOS (0886);REGULAR;SP;Interior;321;43;7;13.4;27.7307476635514;74.2;68.22429906542055;60.43613707165109;62.928348909657316;1579.0;835.0;126208.0;-7.79;-5.3;49.34;zona_qualidade;zona_qualidade;zona_qualidade;atencao_leve;False
L5244-TAGUATINGA SUL;REGULAR;DF;DF;417;48;18;11.51;27.600551558752997;70.39200000000001;67.38609112709833;62.11031175059952;65.70743405275779;1839.0;937.0;73748.0;-5.28;-1.68;49.31;zona_qualidade;zona_qualidade;zona_qualidade;atencao_leve;False
L5155-SUZANO;REGULAR;SP;RMSP;585;65;20;11.11;27.52316239316239;71.84000000000002;69.74358974358974;62.56410256410256;67.008547008547;2986.0;1197.0;114047.0;-7.18;-2.74;49.3;zona_qualidade;zona_qualidade;zona_qualidade;atencao_leve;False
L5120-ITU;REGULAR;SP;Interior;491;52;21;10.59;27.705824847250508;71.53;67.20977596741345;62.11812627291242;65.78411405295316;2490.0;1023.0;94658.0;-5.09;-1.43;49.03;zona_qualidade;zona_qualidade;zona_qualidade;atencao_leve;False
L5105-DOM PEDRO I (1457);REGULAR;SP;RMSP;464;53;19;11.42;26.64030172413793;73.73899999999999;68.96551724137932;64.65517241379311;66.8103448275862;1782.0;1005.0;129016.0;-4.31;-2.16;49.02;zona_qualidade;zona_qualidade;zona_qualidade;atencao_leve;False
L5262-URBANOVA;REGULAR;SP;Interior;128;17;7;13.28;27.04015625;73.723;61.71875;60.15625;59.375;664.0;478.0;66310.0;-1.56;-2.34;48.89;zona_qualidade;zona_qualidade;zona_qualidade;atencao_leve;False
