centro_nv2;flag;uf;regiao;comentarios;comentarios_negativos;comentarios_negativos_longos;pct_negativo;severidade_media;severidade_p90;nps_tradicional;nps_textual;nps_hibrido;avaliacoes_ponderadas;linhas_avaliacao;transacoes;delta_textual_vs_tradicional;delta_hibrido_vs_tradicional;indice_prioridade;faixa_nps_tradicional;faixa_nps_textual;faixa_nps_hibrido;quadrante_risco;risco_oculto
L5200-JUVENTUS;TOCADORA;SP;Capital;333;69;25;20.72;37.10762762762763;78.60000000000001;44.14414414414414;36.03603603603604;40.54054054054054;1383.0;804.0;102653.0;-8.11;-3.6;80.36;aperfeicoamento;aperfeicoamento;aperfeicoamento;critico;False
L5174-PERI PERI;TOCADORA;SP;Capital;478;95;40;19.87;34.37771966527197;80.217;52.719665271966534;43.72384937238494;46.86192468619247;1700.0;973.0;97142.0;-9.0;-5.86;77.27;zona_qualidade;aperfeicoamento;aperfeicoamento;critico;False
L5017-LEOPOLDINA (0576);TOCADORA;SP;Capital;389;76;32;19.54;34.8473264781491;80.52000000000001;43.70179948586118;42.673521850899746;42.41645244215938;1383.0;848.0;85393.0;-1.03;-1.29;77.21;aperfeicoamento;aperfeicoamento;aperfeicoamento;critico;False
L5186-VILA DAS MERCES;REGULAR;SP;Capital;450;93;29;20.67;34.2302;79.59100000000001;51.77777777777778;43.77777777777778;48.22222222222222;1907.0;985.0;126815.0;-8.0;-3.56;76.68;zona_qualidade;aperfeicoamento;aperfeicoamento;critico;False
L5070-BORGES LAGOA (1323);TOCADORA;SP;Capital;527;101;44;19.17;34.56998102466793;79.668;52.371916508538895;43.833017077798864;48.38709677419355;1742.0;1044.0;88609.0;-8.54;-3.98;76.27;zona_qualidade;aperfeicoamento;aperfeicoamento;critico;False
L5007-KLABIN (0496);TOCADORA;SP;Capital;488;96;37;19.67;34.036290983606555;80.507;52.459016393442624;44.67213114754098;49.385245901639344;1331.0;935.0;64043.0;-7.79;-3.07;75.04;zona_qualidade;aperfeicoamento;aperfeicoamento;critico;False
L5149-ALTO DA MOOCA;REGULAR;SP;Capital;660;121;36;18.33;34.22539393939394;80.103;56.36363636363636;45.909090909090914;50.0;2815.0;1275.0;173701.0;-10.45;-6.36;74.06;zona_qualidade;aperfeicoamento;zona_qualidade;critico;False
L5152-ALTO DA BOA VISTA;TOCADORA;SP;Capital;1027;175;76;17.04;33.571256085686464;80.806;56.9620253164557;49.074975657254136;54.43037974683544;3369.0;1699.0;138715.0;-7.89;-2.53;73.73;zona_qualidade;aperfeicoamento;zona_qualidade;critico;False
L5074-VOLUNTARIOS DA PATRIA (1335);TOCADORA;SP;Capital;393;75;30;19.08;33.792671755725195;78.88;52.41730279898219;44.529262086513995;48.854961832061065;1423.0;881.0;86299.0;-7.89;-3.56;73.43;zona_qualidade;aperfeicoamento;aperfeicoamento;critico;False
L5082-VILA ANDRADE (1346);REGULAR;SP;Capital;486;90;30;18.52;33.92008230452675;81.255;52.2633744855967;45.47325102880658;48.76543209876543;1486.0;963.0;123177.0;-6.79;-3.5;73.15;zona_qualidade;aperfeicoamento;aperfeicoamento;critico;False
L5033-SANTANA (0868);TOCADORA;SP;Capital;276;56;19;20.29;33.22159420289855;78.74;51.449275362318836;44.565217391304344;47.46376811594203;1030.0;704.0;72344.0;-6.88;-3.99;72.77;zona_qualidade;aperfeicoamento;aperfeicoamento;critico;False
L5206-CACHOEIRINHA;TOCADORA;SP;Capital;444;85;31;19.14;33.12972972972973;80.388;55.4054054054054;46.846846846846844;53.82882882882883;1802.0;951.0;81414.0;-8.56;-1.58;71.6;zona_qualidade;aperfeicoamento;zona_qualidade;critico;False
L5081-VILA OLIMPIA (1345);TOCADORA;SP;Capital;234;44;18;18.8;33.742051282051285;77.441;48.29059829059829;43.162393162393165;45.72649572649573;897.0;603.0;75893.0;-5.13;-2.56;71.25;aperfeicoamento;aperfeicoamento;aperfeicoamento;critico;False
L5014-ROUXINOL (0567);TOCADORA;SP;Capital;367;66;18;17.98;34.18692098092643;77.81400000000001;48.50136239782017;43.596730245231605;45.776566757493185;1353.0;834.0;107426.0;-4.9;-2.72;70.77;aperfeicoamento;aperfeicoamento;aperfeicoamento;critico;False
L5078-CAMPO BELO 2 (1342);TOCADORA;SP;Capital;409;76;30;18.58;32.95518337408313;78.25;52.07823960880196;47.18826405867971;53.0562347188264;1368.0;850.0;74139.0;-4.89;0.98;70.57;zona_qualidade;aperfeicoamento;zona_qualidade;critico;False
L5027-ACLIMACAO (0851);TOCADORA;SP;Capital;463;78;33;16.85;32.77518358531317;78.59400000000001;53.56371490280778;48.16414686825054;50.75593952483801;1837.0;1011.0;144210.0;-5.4;-2.81;69.78;zona_qualidade;aperfeicoamento;zona_qualidade;critico;False
L5095-VILLA LOBOS (1380);TOCADORA;SP;Capital;550;99;34;18.0;31.722309090909093;79.27199999999999;57.09090909090909;50.90909090909091;53.090909090909086;1565.0;1029.0;65953.0;-6.18;-4.0;69.17;zona_qualidade;zona_qualidade;zona_qualidade;critico;False
L5037-VILA ROMANA (0880);TOCADORA;SP;Capital;477;81;39;16.98;32.612914046121595;79.16600000000001;58.280922431865825;49.47589098532495;54.71698113207547;1438.0;957.0;103921.0;-8.81;-3.56;69.09;zona_qualidade;aperfeicoamento;zona_qualidade;critico;False
L5006-MARAJOARA (0487);REGULAR;SP;Capital;530;91;31;17.17;32.12211320754717;79.49000000000001;55.094339622641506;50.37735849056604;53.20754716981132;1960.0;1054.0;134956.0;-4.72;-1.89;68.62;zona_qualidade;zona_qualidade;zona_qualidade;critico;False
L5055-CAMBUCI (1284);TOCADORA;SP;Capital;617;106;31;17.18;31.97777957860616;78.688;56.56401944894651;50.72933549432739;53.64667747163695;2391.0;1209.0;156925.0;-5.83;-2.92;68.57;zona_qualidade;zona_qualidade;zona_qualidade;critico;False
L5156-JARDIM PRUDENCIA;REGULAR;SP;Capital;474;79;38;16.67;31.369683544303797;78.804;56.32911392405063;52.109704641350206;54.008438818565395;2002.0;1041.0;142708.0;-4.22;-2.32;68.1;zona_qualidade;zona_qualidade;zona_qualidade;critico;False
L5180-FREI CANECA;TOCADORA;SP;Capital;678;109;51;16.08;31.342994100294984;78.783;59.882005899705014;52.654867256637175;56.78466076696165;2261.0;1242.0;135449.0;-7.23;-3.1;67.76;zona_qualidade;zona_qualidade;zona_qualidade;critico;False
L5210-CAMPANELLA;REGULAR;SP;Capital;818;129;44;15.77;31.996332518337407;78.424;60.26894865525673;52.07823960880196;55.8679706601467;3521.0;1510.0;145713.0;-8.19;-4.4;67.44;zona_qualidade;zona_qualidade;zona_qualidade;critico;False
L5099-VILA MATILDE (1421);REGULAR;SP;Capital;621;102;33;16.43;31.769581320450886;79.74;57.80998389694042;51.690821256038646;54.589371980676326;2866.0;1249.0;168206.0;-6.12;-3.22;67.38;zona_qualidade;zona_qualidade;zona_qualidade;critico;False
L5020-VILA MARIANA 2 (0779);REGULAR;SP;Capital;539;85;30;15.77;33.288311688311694;78.702;54.54545454545454;48.05194805194805;52.875695732838594;1861.0;1084.0;129715.0;-6.49;-1.67;67.32;zona_qualidade;aperfeicoamento;zona_qualidade;critico;False
L5113-ANASTACIO;TOCADORA;SP;Capital;483;77;27;15.94;33.00028985507246;77.83600000000001;54.45134575569358;47.82608695652174;51.5527950310559;2150.0;1056.0;132809.0;-6.63;-2.9;67.25;zona_qualidade;aperfeicoamento;zona_qualidade;critico;False
L5002-ALPHAVILLE (0290);REGULAR;SP;RMSP;730;109;45;14.93;32.81734246575343;78.412;58.35616438356165;50.68493150684932;55.47945205479452;3159.0;1342.0;130581.0;-7.67;-2.88;66.92;zona_qualidade;zona_qualidade;zona_qualidade;atencao_leve;False
L5107-MANDAQUI (1521);TOCADORA;SP;Capital;322;55;15;17.08;33.127391304347825;78.88100000000003;49.378881987577635;46.8944099378882;48.13664596273292;1186.0;748.0;95429.0;-2.48;-1.24;66.84;aperfeicoamento;aperfeicoamento;aperfeicoamento;critico;False
L5015-BARAO ITAPURA (0570);TOCADORA;SP;Interior;308;58;15;18.83;32.60412337662338;79.396;59.09090909090909;47.07792207792208;54.54545454545454;1579.0;810.0;73839.0;-12.01;-4.55;66.83;zona_qualidade;aperfeicoamento;zona_qualidade;critico;False
L5059-TUTOIA (1294);TOCADORA;SP;Capital;574;89;29;15.51;32.8248606271777;77.613;55.052264808362374;48.954703832752614;51.045296167247386;1884.0;1063.0;112454.0;-6.1;-4.01;66.77;zona_qualidade;aperfeicoamento;zona_qualidade;critico;False
L5067-CHACARA ST. ANTONIO (1318);TOCADORA;SP;Capital;381;61;27;16.01;32.56244094488189;77.78;54.85564304461942;48.55643044619423;53.54330708661418;1393.0;843.0;105539.0;-6.3;-1.31;66.13;zona_qualidade;aperfeicoamento;zona_qualidade;critico;False
L5220-PLANALTO;REGULAR;SP;RMSP;421;69;26;16.39;32.3249406175772;79.58;59.61995249406176;50.3562945368171;53.44418052256532;1629.0;915.0;87121.0;-9.26;-6.18;66.13;zona_qualidade;zona_qualidade;zona_qualidade;critico;False
L5184-PRACA VARNHAGEM;REGULAR;RJ;RJ;1258;170;75;13.51;32.18065182829889;78.957;63.036565977742455;53.10015898251193;58.108108108108105;4929.0;1989.0;136813.0;-9.94;-4.93;66.1;zona_qualidade;zona_qualidade;zona_qualidade;atencao_leve;False
L5176-BRAGANCA PAULISTA;REGULAR;SP;Interior;685;100;37;14.6;32.29963503649635;78.316;57.66423357664233;51.240875912408754;56.058394160583944;3108.0;1312.0;175261.0;-6.42;-1.61;65.22;zona_qualidade;zona_qualidade;zona_qualidade;atencao_leve;False
L5121-VILA MASCOTE;REGULAR;SP;Capital;596;89;34;14.93;31.945184563758392;78.425;58.38926174496645;52.18120805369127;55.87248322147651;2266.0;1176.0;163841.0;-6.21;-2.52;64.99;zona_qualidade;zona_qualidade;zona_qualidade;atencao_leve;False
L5136-RIB.PRETO ALTO DA BOA VISTA;REGULAR;SP;Interior;236;41;18;17.37;30.846610169491527;78.23;53.813559322033896;50.847457627118644;53.813559322033896;1056.0;680.0;78076.0;-2.97;0.0;64.39;zona_qualidade;zona_qualidade;zona_qualidade;critico;False
L5100-INTERLAGOS (1431);REGULAR;SP;Capital;555;89;37;16.04;30.885225225225224;79.02;62.52252252252253;53.333333333333336;61.08108108108108;2166.0;1114.0;120734.0;-9.19;-1.44;64.31;zona_qualidade;zona_qualidade;zona_qualidade;critico;False
L5005-BROOKLIN (0475);TOCADORA;SP;Capital;467;73;32;15.63;31.13325481798715;78.874;59.52890792291221;53.104925053533194;56.53104925053534;1481.0;931.0;100102.0;-6.42;-3.0;64.3;zona_qualidade;zona_qualidade;zona_qualidade;critico;False
L5199-CASA VERDE;TOCADORA;SP;Capital;543;86;32;15.84;30.813314917127073;79.08200000000001;60.036832412523026;53.77532228360957;57.826887661141804;2086.0;1106.0;121834.0;-6.26;-2.21;64.21;zona_qualidade;zona_qualidade;zona_qualidade;critico;False
L5022-SAO CAETANO CENTRO (0811);REGULAR;SP;RMSP;525;81;35;15.43;30.77192380952381;78.232;60.57142857142858;54.095238095238095;58.285714285714285;2304.0;1103.0;161810.0;-6.48;-2.29;64.21;zona_qualidade;zona_qualidade;zona_qualidade;critico;False
L5185-CLODOMIRO;TOCADORA;SP;Capital;443;74;29;16.7;30.5807223476298;78.102;58.465011286681715;53.49887133182845;57.78781038374717;1381.0;892.0;70686.0;-4.97;-0.68;64.19;zona_qualidade;zona_qualidade;zona_qualidade;critico;False
L5021-VILA SAUDE (0782);TOCADORA;SP;Capital;608;87;24;14.31;33.23199013157895;77.436;54.76973684210527;48.51973684210527;53.94736842105263;2332.0;1189.0;144510.0;-6.25;-0.82;63.78;zona_qualidade;aperfeicoamento;zona_qualidade;atencao_leve;False
L5177-FREGUESIA DO O;TOCADORA;SP;Capital;695;98;50;14.1;31.271122302158275;78.956;62.44604316546762;54.53237410071943;59.56834532374101;2459.0;1288.0;128001.0;-7.91;-2.88;63.71;zona_qualidade;zona_qualidade;zona_qualidade;atencao_leve;False
L5223-CAMPO LIMPO;REGULAR;SP;Capital;1428;193;71;13.52;30.249131652661067;79.24;66.03641456582633;58.123249299719895;62.324929971988794;5830.0;2249.0;208189.0;-7.91;-3.71;63.55;zona_qualidade;zona_qualidade;zona_qualidade;atencao_leve;False
L5230-LARGO DO MACHADO;REGULAR;RJ;RJ;1747;214;93;12.25;30.875495134516314;76.852;63.76645678305667;57.183743560389246;62.04922724670864;5855.0;2542.0;193018.0;-6.58;-1.72;63.48;zona_qualidade;zona_qualidade;zona_qualidade;atencao_leve;False
L5056-PENHA (1285);REGULAR;SP;Capital;986;140;57;14.2;30.70674442190669;78.58500000000001;66.12576064908721;56.28803245436106;62.27180527383367;3939.0;1666.0;147177.0;-9.84;-3.85;63.43;zona_qualidade;zona_qualidade;zona_qualidade;atencao_leve;False
L5139-SBC RUDGE RAMOS;REGULAR;SP;RMSP;495;75;28;15.15;31.14686868686869;77.05;59.59595959595959;52.92929292929293;56.76767676767677;2151.0;1055.0;133286.0;-6.67;-2.83;63.2;zona_qualidade;zona_qualidade;zona_qualidade;critico;False
L5083-BARCELONA (1347);REGULAR;SP;RMSP;324;55;19;16.98;30.900185185185183;77.845;60.49382716049383;51.85185185185185;58.333333333333336;1456.0;803.0;97059.0;-8.64;-2.16;63.02;zona_qualidade;zona_qualidade;zona_qualidade;critico;False
L5049-RIB.PRETO INDEPENDENCIA (1266);REGULAR;SP;Interior;326;54;22;16.56;30.564386503067485;76.83000000000001;54.601226993865026;52.760736196319016;56.13496932515337;1373.0;817.0;59292.0;-1.84;1.53;62.89;zona_qualidade;zona_qualidade;zona_qualidade;critico;False
L5019-ANGELICA (0684);REGULAR;SP;Capital;1031;140;48;13.58;30.941348205625605;77.97;61.68768186226964;55.96508244422891;59.06886517943744;3824.0;1735.0;152771.0;-5.72;-2.62;62.82;zona_qualidade;zona_qualidade;zona_qualidade;atencao_leve;False
L5058-JD. BONFIGLIOLI (1291);TOCADORA;SP;Capital;901;123;51;13.65;30.865094339622644;78.69;65.14983351831299;55.826859045504996;61.48723640399556;2892.0;1536.0;151713.0;-9.32;-3.66;62.44;zona_qualidade;zona_qualidade;zona_qualidade;atencao_leve;False
L5091-NOVA CANTAREIRA (1366);TOCADORA;SP;Capital;423;65;23;15.37;31.284113475177307;76.998;63.593380614657214;52.24586288416076;57.68321513002365;1733.0;947.0;115112.0;-11.35;-5.91;62.22;zona_qualidade;zona_qualidade;zona_qualidade;critico;False
L5159-COTIA KM 39;REGULAR;SP;RMSP;400;60;24;15.0;30.786375;77.117;59.0;52.75;56.75;1661.0;918.0;126546.0;-6.25;-2.25;61.87;zona_qualidade;zona_qualidade;zona_qualidade;critico;False
L5187-MUTIRAO;REGULAR;GO;GO;358;61;19;17.04;29.773072625698326;77.68;61.731843575419;54.18994413407822;58.37988826815642;1621.0;868.0;66046.0;-7.54;-3.35;61.72;zona_qualidade;zona_qualidade;zona_qualidade;critico;False
L5043-PORTUGAL (1239);REGULAR;SP;RMSP;425;67;13;15.76;32.03411764705882;77.364;57.88235294117647;49.88235294117647;55.05882352941176;1734.0;958.0;134811.0;-8.0;-2.82;61.63;zona_qualidade;aperfeicoamento;zona_qualidade;critico;False
L5047-SAO BERNARDO (1255);REGULAR;SP;RMSP;605;85;29;14.05;31.206710743801654;77.916;59.50413223140496;54.049586776859506;58.01652892561984;2729.0;1228.0;159612.0;-5.45;-1.49;61.61;zona_qualidade;zona_qualidade;zona_qualidade;atencao_leve;False
L5062-ASSUNCAO (1310);REGULAR;SP;RMSP;601;82;27;13.64;31.18247920133112;76.91;55.24126455906821;53.244592346089846;56.07321131447587;2679.0;1214.0;191231.0;-2.0;0.83;61.42;zona_qualidade;zona_qualidade;zona_qualidade;atencao_leve;False
L5103-ATIBAIA (1454);TOCADORA;SP;Interior;910;122;42;13.41;30.782802197802198;77.93;65.05494505494505;55.934065934065934;62.417582417582416;3326.0;1585.0;211565.0;-9.12;-2.64;61.17;zona_qualidade;zona_qualidade;zona_qualidade;atencao_leve;False
L5088-PONTA DA PRAIA (1363);REGULAR;SP;Litoral;411;59;24;14.36;30.908029197080293;76.46;58.88077858880778;52.311435523114355;57.66423357664233;1861.0;932.0;180774.0;-6.57;-1.22;61.16;zona_qualidade;zona_qualidade;zona_qualidade;atencao_leve;False
L5209-ITABERABA;TOCADORA;SP;Capital;762;109;34;14.3;30.349553805774278;78.707;64.1732283464567;56.69291338582677;62.07349081364829;3227.0;1388.0;135989.0;-7.48;-2.1;60.68;zona_qualidade;zona_qualidade;zona_qualidade;atencao_leve;False
L5097-JUNDIAI (1404);REGULAR;SP;Interior;603;85;20;14.1;32.12112769485904;76.11200000000002;59.369817578772796;51.243781094527364;56.38474295190713;2197.0;1151.0;101808.0;-8.13;-2.99;60.53;zona_qualidade;zona_qualidade;zona_qualidade;atencao_leve;False
L5092-VILA AUGUSTA (1374);TOCADORA;SP;RMSP;504;73;20;14.48;31.106805555555557;76.074;59.12698412698413;53.17460317460318;56.94444444444444;1883.0;1040.0;120848.0;-5.95;-2.18;60.34;zona_qualidade;zona_qualidade;zona_qualidade;atencao_leve;False
L5072-SERRA DE JAPI (1330);REGULAR;SP;Capital;510;76;22;14.9;29.78792156862745;77.333;63.52941176470588;56.07843137254902;58.235294117647065;2129.0;1063.0;115606.0;-7.45;-5.29;59.94;zona_qualidade;zona_qualidade;zona_qualidade;atencao_leve;False
L5001-RIBEIRAO PRETO (0217);REGULAR;SP;Interior;585;81;26;13.85;30.811367521367522;77.604;61.88034188034188;56.06837606837607;60.51282051282051;2825.0;1219.0;160501.0;-5.81;-1.37;59.71;zona_qualidade;zona_qualidade;zona_qualidade;atencao_leve;False
L5093-PERDIZES 2 (1376);TOCADORA;SP;Capital;539;74;28;13.73;30.17463821892393;76.866;61.224489795918366;55.84415584415584;58.62708719851577;1604.0;1044.0;107415.0;-5.38;-2.6;59.46;zona_qualidade;zona_qualidade;zona_qualidade;atencao_leve;False
L5252-14 DE DEZEMBRO;REGULAR;SP;Interior;555;75;31;13.51;30.3992972972973;77.106;63.24324324324324;55.4954954954955;60.9009009009009;2544.0;1147.0;114373.0;-7.75;-2.34;59.2;zona_qualidade;zona_qualidade;zona_qualidade;atencao_leve;False
L5266-MATEO BEI;REGULAR;SP;Capital;613;87;27;14.19;30.09769983686786;77.018;63.94779771615008;56.6068515497553;61.99021207177814;2659.0;1184.0;119178.0;-7.34;-1.96;59.03;zona_qualidade;zona_qualidade;zona_qualidade;atencao_leve;False
L5004-CAMPO BELO (0448);REGULAR;SP;Capital;514;75;21;14.59;29.603035019455252;76.745;63.81322957198443;56.22568093385214;58.754863813229576;1767.0;1029.0;108672.0;-7.59;-5.06;58.87;zona_qualidade;zona_qualidade;zona_qualidade;atencao_leve;False
L5178-PERIMETRAL;REGULAR;SP;RMSP;610;80;31;13.11;30.556590163934427;76.34400000000001;63.934426229508205;54.91803278688525;61.147540983606554;2996.0;1226.0;126171.0;-9.02;-2.79;58.77;zona_qualidade;zona_qualidade;zona_qualidade;atencao_leve;False
L5273-MORRO GRANDE;TOCADORA;SP;Capital;291;42;16;14.43;30.546666666666667;76.3;63.230240549828174;53.264604810996566;56.3573883161512;1335.0;744.0;99366.0;-9.97;-6.87;58.67;zona_qualidade;zona_qualidade;zona_qualidade;atencao_leve;False
L5046-VILA CARRAO (1248);REGULAR;SP;Capital;546;72;25;13.19;30.46388278388278;76.025;61.172161172161175;55.494505494505496;58.60805860805861;2329.0;1093.0;136427.0;-5.68;-2.56;58.61;zona_qualidade;zona_qualidade;zona_qualidade;atencao_leve;False
L5042-IPIRANGA (1237);REGULAR;SP;Capital;659;85;36;12.9;29.246646433990897;76.28200000000001;62.51896813353566;59.028831562974204;60.69802731411229;2458.0;1227.0;162529.0;-3.49;-1.82;58.6;zona_qualidade;zona_qualidade;zona_qualidade;atencao_leve;False
L5025-PANAMBY (0817);REGULAR;SP;Capital;623;83;27;13.32;29.89295345104334;76.15;61.47672552166934;56.82182985553772;59.3900481540931;2234.0;1190.0;117609.0;-4.65;-2.09;58.32;zona_qualidade;zona_qualidade;zona_qualidade;atencao_leve;False
L5109-SANTOS POMPEIA;REGULAR;SP;Litoral;782;96;37;12.28;29.644450127877235;76.407;58.43989769820972;58.95140664961637;59.974424552429674;2739.0;1400.0;157166.0;0.51;1.53;58.29;zona_qualidade;zona_qualidade;zona_qualidade;atencao_leve;False
L5245-MAUA 2;REGULAR;SP;RMSP;498;72;25;14.46;29.159538152610445;77.656;67.06827309236948;57.63052208835341;62.85140562248996;2551.0;1081.0;142576.0;-9.44;-4.22;58.28;zona_qualidade;zona_qualidade;zona_qualidade;atencao_leve;False
L5114-106 ASA SUL;REGULAR;DF;DF;370;51;15;13.78;31.092054054054053;75.482;55.67567567567567;52.16216216216216;53.51351351351351;1521.0;859.0;69937.0;-3.51;-2.16;58.24;zona_qualidade;zona_qualidade;zona_qualidade;atencao_leve;False
L5044-INDAIATUBA (1243);REGULAR;SP;Interior;333;46;21;13.81;29.08345345345345;76.298;58.55855855855856;57.35735735735735;57.05705705705706;1735.0;865.0;124392.0;-1.2;-1.5;57.95;zona_qualidade;zona_qualidade;zona_qualidade;atencao_leve;False
L5148-PARQUE DO CARMO;REGULAR;SP;Capital;567;78;20;13.76;30.06352733686067;76.71000000000001;61.022927689594354;56.613756613756614;59.25925925925925;2596.0;1137.0;124512.0;-4.41;-1.76;57.76;zona_qualidade;zona_qualidade;zona_qualidade;atencao_leve;False
L5089-BOA VISTA (1364);REGULAR;SP;RMSP;336;49;14;14.58;30.178333333333335;76.005;59.523809523809526;55.05952380952381;58.03571428571429;1549.0;827.0;117336.0;-4.46;-1.49;57.66;zona_qualidade;zona_qualidade;zona_qualidade;atencao_leve;False
L5018-MOEMA JURUCE (0584);REGULAR;SP;Capital;729;96;39;13.17;28.34951989026063;76.904;67.76406035665295;61.04252400548697;64.33470507544583;2791.0;1387.0;143665.0;-6.72;-3.43;57.45;zona_qualidade;zona_qualidade;zona_qualidade;atencao_leve;False
L5119-AGUAS CLARAS (ARAUCARIAS);REGULAR;DF;DF;573;75;20;13.09;30.570593368237347;75.932;62.82722513089005;55.32286212914486;58.1151832460733;2602.0;1168.0;118152.0;-7.5;-4.71;57.43;zona_qualidade;zona_qualidade;zona_qualidade;atencao_leve;False
L5143-AQUARIUS;REGULAR;SP;Interior;369;52;20;14.09;30.041192411924122;76.94800000000001;63.956639566395665;55.82655826558266;61.78861788617886;1886.0;911.0;111404.0;-8.13;-2.17;57.34;zona_qualidade;zona_qualidade;zona_qualidade;atencao_leve;False
L5166-MAIRIPORA;TOCADORA;SP;RMSP;437;60;19;13.73;29.275446224256296;76.882;61.098398169336384;56.2929061784897;58.12356979405035;2121.0;1004.0;135239.0;-4.81;-2.97;57.28;zona_qualidade;zona_qualidade;zona_qualidade;atencao_leve;False
L5076-PIRACICABA (1337);REGULAR;SP;Interior;390;51;23;13.08;29.756871794871795;75.935;61.02564102564103;56.15384615384615;59.23076923076923;1853.0;929.0;99886.0;-4.87;-1.79;56.91;zona_qualidade;zona_qualidade;zona_qualidade;atencao_leve;False
L5123-SAO VICENTE;REGULAR;SP;Litoral;764;96;38;12.57;29.006479057591623;75.96400000000003;68.19371727748691;59.81675392670157;65.0523560209424;2966.0;1383.0;144144.0;-8.38;-3.14;56.72;zona_qualidade;zona_qualidade;zona_qualidade;atencao_leve;False
L5054-PLANALTO (1279);REGULAR;SP;Capital;753;92;38;12.22;29.082602921646746;76.06400000000004;63.745019920318725;59.8937583001328;62.54980079681275;2530.0;1413.0;110963.0;-3.85;-1.2;56.69;zona_qualidade;zona_qualidade;zona_qualidade;atencao_leve;False
L5282-PARQUE OLIMPICO;REGULAR;RJ;RJ;877;107;36;12.2;29.503865450399086;76.30199999999999;66.81870011402509;58.95096921322691;63.740022805017105;3517.0;1529.0;121523.0;-7.87;-3.08;56.48;zona_qualidade;zona_qualidade;zona_qualidade;atencao_leve;False
L5061-BOSQUE MAIA (1304);REGULAR;SP;RMSP;448;56;18;12.5;30.239620535714288;75.22200000000001;58.25892857142857;55.58035714285714;55.80357142857143;1857.0;976.0;109842.0;-2.68;-2.46;56.37;zona_qualidade;zona_qualidade;zona_qualidade;atencao_leve;False
L5035-TREMEMBE (0875);REGULAR;SP;Capital;393;54;22;13.74;28.784834605597965;76.024;65.64885496183206;58.778625954198475;62.34096692111959;1780.0;937.0;105905.0;-6.87;-3.31;56.05;zona_qualidade;zona_qualidade;zona_qualidade;atencao_leve;False
L5232-PARQUE ECOLOGICO;REGULAR;SP;Interior;454;61;24;13.44;28.462026431718062;75.652;63.21585903083701;59.25110132158591;63.21585903083701;2263.0;1001.0;137999.0;-3.96;0.0;55.83;zona_qualidade;zona_qualidade;zona_qualidade;atencao_leve;False
L5219-AV. ITAQUERA;REGULAR;SP;Capital;612;77;26;12.58;29.501862745098038;76.18399999999998;63.56209150326797;58.16993464052288;62.41830065359477;2727.0;1202.0;119675.0;-5.39;-1.14;55.82;zona_qualidade;zona_qualidade;zona_qualidade;atencao_leve;False
L5108-MOGI DAS CRUZES (1527);REGULAR;SP;RMSP;399;55;19;13.78;29.144411027568925;75.624;65.91478696741855;57.393483709273184;61.904761904761905;1820.0;924.0;102768.0;-8.52;-4.01;55.78;zona_qualidade;zona_qualidade;zona_qualidade;atencao_leve;False
L5066-CARAPICUIBA (1317);REGULAR;SP;RMSP;269;43;9;15.99;28.923159851301115;76.82600000000001;63.19702602230484;56.13382899628253;60.966542750929364;1238.0;716.0;98738.0;-7.06;-2.23;55.63;zona_qualidade;zona_qualidade;zona_qualidade;critico;False
L5250-VILA RICA;REGULAR;SP;Capital;479;70;17;14.61;27.994655532359083;76.042;64.30062630480167;60.125260960334025;63.88308977035491;2299.0;1062.0;111878.0;-4.18;-0.42;55.09;zona_qualidade;zona_qualidade;zona_qualidade;atencao_leve;False
L5205-GRANJA KM 26;REGULAR;SP;RMSP;243;39;12;16.05;28.688230452674897;75.76599999999999;66.2551440329218;56.37860082304527;65.4320987654321;882.0;627.0;61531.0;-9.88;-0.82;54.96;zona_qualidade;zona_qualidade;zona_qualidade;critico;False
L5112-BAURU;TOCADORA;SP;Interior;340;47;19;13.82;28.698441176470585;77.35300000000001;62.64705882352941;58.529411764705884;61.76470588235294;1615.0;853.0;52713.0;-4.12;-0.88;54.71;zona_qualidade;zona_qualidade;zona_qualidade;atencao_leve;False
L5237-PAULINIA;REGULAR;SP;Interior;299;40;9;13.38;30.96344481605351;74.002;56.187290969899664;51.50501672240802;57.19063545150501;1466.0;821.0;117497.0;-4.68;1.0;54.66;zona_qualidade;zona_qualidade;zona_qualidade;atencao_leve;False
L5192-ALPHAVILLE CONDE;REGULAR;SP;RMSP;389;55;22;14.14;26.986118251928023;75.376;68.63753213367609;62.2107969151671;65.03856041131105;1174.0;798.0;125879.0;-6.43;-3.6;54.63;zona_qualidade;zona_qualidade;zona_qualidade;atencao_leve;False
L5045-TATUAPE (1247);REGULAR;SP;Capital;386;50;21;12.95;28.33222797927461;74.91;63.47150259067358;59.58549222797927;61.917098445595855;1623.0;915.0;123851.0;-3.89;-1.55;54.59;zona_qualidade;zona_qualidade;zona_qualidade;atencao_leve;False
L5283-ALDEIA DA SERRA;TOCADORA;SP;RMSP;248;35;11;14.11;29.87826612903226;74.99300000000001;62.096774193548384;54.03225806451613;59.67741935483871;1078.0;668.0;77877.0;-8.06;-2.42;54.58;zona_qualidade;zona_qualidade;zona_qualidade;atencao_leve;False
L5039-ZELINA (1208);REGULAR;SP;Capital;504;66;20;13.1;28.116011904761905;76.979;65.47619047619048;60.317460317460316;64.48412698412699;2229.0;1082.0;133782.0;-5.16;-0.99;53.73;zona_qualidade;zona_qualidade;zona_qualidade;atencao_leve;False
